"filename", "language", "JSON", "Properties", "JavaScript", "Markdown", "XML", "CSS", "JavaScript JSX", "HTML", "Prisma", "MS SQL", "comment", "blank", "total"
"c:\Users\Acer\Informatics\FYP\Foodmate RM\frontend\eslint.config.js", "JavaScript", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 2, 39
"c:\Users\Acer\Informatics\FYP\Foodmate RM\frontend\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 1, 14
"c:\Users\Acer\Informatics\FYP\Foodmate RM\frontend\package-lock.json", "JSON", 5692, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5693
"c:\Users\Acer\Informatics\FYP\Foodmate RM\frontend\package.json", "JSON", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 40
"c:\Users\Acer\Informatics\FYP\Foodmate RM\frontend\postcss.config.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Acer\Informatics\FYP\Foodmate RM\frontend\public\vite.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Acer\Informatics\FYP\Foodmate RM\frontend\src\App.css", "CSS", 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 6, 43
"c:\Users\Acer\Informatics\FYP\Foodmate RM\frontend\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 3, 4, 66
"c:\Users\Acer\Informatics\FYP\Foodmate RM\frontend\src\assets\assets.js", "JavaScript", 0, 0, 408, 0, 0, 0, 0, 0, 0, 0, 0, 6, 414
"c:\Users\Acer\Informatics\FYP\Foodmate RM\frontend\src\assets\frontend\README.md", "Markdown", 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 33, 71
"c:\Users\Acer\Informatics\FYP\Foodmate RM\frontend\src\assets\frontend\package-lock.json", "JSON", 19794, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19795
"c:\Users\Acer\Informatics\FYP\Foodmate RM\frontend\src\assets\frontend\package.json", "JSON", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 40
"c:\Users\Acer\Informatics\FYP\Foodmate RM\frontend\src\assets\frontend\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 23, 1, 44
"c:\Users\Acer\Informatics\FYP\Foodmate RM\frontend\src\assets\frontend\public\manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\Acer\Informatics\FYP\Foodmate RM\frontend\src\components\AboutUs.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 5, 7, 86
"c:\Users\Acer\Informatics\FYP\Foodmate RM\frontend\src\components\CancelOrder.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 6, 45
"c:\Users\Acer\Informatics\FYP\Foodmate RM\frontend\src\components\Contact.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 119, 0, 0, 0, 2, 5, 126
"c:\Users\Acer\Informatics\FYP\Foodmate RM\frontend\src\components\CustomerMenu.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 248, 0, 0, 0, 17, 27, 292
"c:\Users\Acer\Informatics\FYP\Foodmate RM\frontend\src\components\CustomerRegisterForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 134, 0, 0, 0, 27, 14, 175
"c:\Users\Acer\Informatics\FYP\Foodmate RM\frontend\src\components\Dropdown.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 1, 7, 69
"c:\Users\Acer\Informatics\FYP\Foodmate RM\frontend\src\components\Footer.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 1, 61
"c:\Users\Acer\Informatics\FYP\Foodmate RM\frontend\src\components\Hero.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 2, 5, 45
"c:\Users\Acer\Informatics\FYP\Foodmate RM\frontend\src\components\Menu.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 2, 36
"c:\Users\Acer\Informatics\FYP\Foodmate RM\frontend\src\components\Navbar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 140, 0, 0, 0, 4, 5, 149
